compiler,case,scenario,mode,trial,checked_messages,worker_processes,signals_sent,basis,successor_all_attached_ns,successor_first_validated_read_ns,old_ready,old_unavailable_orphans
gcc,storm_restart_ncq_4p4c_t002,storm_restart,2,2,32000,8,36,,,,0,0
gcc,storm_restart_ncq_16p1c_t002,storm_restart,2,2,32000,17,132,,,,0,0
gcc,storm_restart_ncq_1p16c_t002,storm_restart,2,2,32000,17,172,,,,0,0
gcc,storm_restart_ncq_16p16c_t002,storm_restart,2,2,32000,32,264,,,,0,0
clang,write_claim_ncq_1p1c_t000,write_claim,2,0,20000,7,1,terminal_notification,2078917,2148430,0,1
clang,write_reserved_ncq_1p1c_t000,write_reserved,2,0,20000,7,1,terminal_notification,1622394,1662603,0,1
clang,write_committed_ncq_1p1c_t000,write_committed,2,0,20000,7,1,terminal_notification,1530068,1570227,0,1
clang,write_published_ncq_1p1c_t000,write_published,2,0,20000,7,1,terminal_notification,1554624,1632179,0,0
clang,read_claim_ncq_1p1c_t000,read_claim,2,0,20000,7,1,terminal_notification,1955846,2029034,0,1
clang,read_returning_ncq_1p1c_t000,read_returning,2,0,20000,7,1,terminal_notification,1942236,1999591,0,1
clang,read_returned_ncq_1p1c_t000,read_returned,2,0,20000,7,1,terminal_notification,1547033,1616866,0,0
clang,late_publication_ncq_1p1c_t000,late_publication,2,0,20000,7,1,false_suspicion,3265548,3345506,1,0
clang,write_partial_ncq_1p1c_t000,write_partial,2,0,20000,7,1,terminal_notification,1799505,1838342,0,1
clang,read_held_ncq_1p1c_t000,read_held,2,0,20000,7,1,terminal_notification,1717464,1785405,0,1
clang,resume_write_ncq_1p1c_t000,resume_write,2,0,20000,7,1,false_suspicion,2982080,3048679,0,1
clang,resume_read_ncq_1p1c_t000,resume_read,2,0,20000,7,1,false_suspicion,3110184,3149993,0,1
clang,async_resume_write_ncq_1p1c_t000,async_resume_write,2,0,1008994,7,1,false_suspicion,11979957,12054737,9,2
clang,write_partial_spsc_1p1c_t000,write_partial,1,0,10000,4,1,terminal_notification,1698927,1781359,0,0
