compiler,cell,axis,runtime,mode,P,C,payload_bytes,capacity,trials,messages_each,arrival,hold_ns,checksum,median_messages_per_second,min_messages_per_second,max_messages_per_second,median_GB_per_second,min_GB_per_second,max_GB_per_second,median_trial_native_latency_p50_ns,median_trial_native_latency_p99_ns,median_trial_native_latency_p99_9_ns,median_trial_native_latency_max_ns,median_trial_offered_latency_p50_ns,median_trial_offered_latency_p99_ns,median_trial_offered_latency_p99_9_ns,median_trial_offered_latency_max_ns,median_trial_returned_latency_p50_ns,median_trial_returned_latency_p99_ns,median_trial_returned_latency_p99_9_ns,median_trial_returned_latency_max_ns
gcc,python-asymmetric-1-16,population,python_helper,ncq,1,16,64,32,3,512,1,0,0,10487.417260269163,9917.84710193631,12145.274082898375,0.0006711947046572264,0.0006347422145239239,0.000777297541305496,19845,124906,16101921,16101921,20025,125086,16102092,16102092,24652,129673,16122021,16122021
gcc,python-asymmetric-16-1,population,python_helper,ncq,16,1,64,32,3,512,1,0,0,6691.644361947854,6663.582417133049,7070.477469895923,0.0004282652391646627,0.00042646927469651517,0.0004525105580733391,475588,24426721,60444886,60444886,475768,24428153,60445267,60445267,482428,24431058,60449653,60449653
gcc,reported-same-l2,locality,native_c,spsc,1,1,64,32,3,20000,0,0,0,1234671.8575564018,1213324.6831372257,1273325.8979589732,0.0790189988836097,0.07765277972078244,0.08149285746937428,315,792,3325,118521,350,837,4346,118561,360,842,3385,118702
clang,spsc-closed-small,arrival,native_c,spsc,1,1,64,32,3,20000,0,0,0,2307081.0199559047,2298253.028925123,2553374.1371031688,0.1476531852771779,0.1470881938512079,0.1634159447746028,206,236,336,60285,246,276,376,60325,256,286,476,60336
clang,ncq-pop-1-1,population,native_c,ncq,1,1,64,32,3,20000,1,0,0,4977277.483966323,4849274.83944051,5396601.652007698,0.31854575897384463,0.31035358972419264,0.34538250572849266,2849,6745,47927,48538,2880,6795,47967,48578,2949,6845,48067,48668
clang,ncq-pop-2-2,population,native_c,ncq,2,2,64,32,3,20000,1,0,0,2295844.865170771,1718899.2890890376,2436557.524321108,0.14693407137092931,0.1100095545016984,0.1559396815565509,12739,24452,28758,417872,12779,24492,28798,417912,13225,25088,29819,418092
clang,ncq-pop-4-4,population,native_c,ncq,4,4,64,32,3,20000,1,0,0,1833579.888709035,1266323.1427455798,2074899.2999497252,0.11734911287737824,0.08104468113571711,0.1327935551967824,10431,17005,37756,4039207,10471,17080,37796,4039247,10630,17506,38147,4039437
clang,ncq-pop-8-8,population,native_c,ncq,8,8,64,32,3,20000,1,0,0,1706890.3922041536,1694060.7585055402,2027865.0970855625,0.10924098510106584,0.10841988854435458,0.129783366213476,4421,7777,20641,266602,4461,7817,20681,266632,4581,7916,20771,431888
clang,ncq-pop-16-1,population,native_c,ncq,16,1,64,32,3,20000,1,0,0,8490.03065960624,8104.096490543139,9059.286514800508,0.0005433619622147993,0.0005186621753947609,0.0005797943369472325,5208,16076098,35997629,1883971506,5248,16076138,35997669,1883971546,5349,16076158,35998079,1883971686
clang,ncq-pop-1-16,population,native_c,ncq,1,16,64,32,3,20000,1,0,0,455986.1947443624,359993.1673296841,787798.6997855139,0.029183116463639195,0.023039562709099782,0.050419116786272894,8087,14957,31897,16025276,8127,15006,31937,16025306,8632,18498,33059,16025927
